problem,rmp_solver,init_mode,run,iter,cols,time,init_time,pricing_time,rmp_time
pk1rcf72,highs,p,0,288,1081345,964.903,282.313,149.449,471.846
pk1rcf72,highs,p,1,302,1114085,1001.4,284.916,156.532,494.988
pk1rcf72,highs,p,2,297,1112675,995.065,285.361,154.083,491.628
pk1rcf72,highs,p,3,298,1112741,1000.87,286.811,155.231,494.264
pk1rcf72,highs,p,4,304,1101140,1012.8,291.163,158.7,496.741
pk1rcf72,highs,g,0,1398,4138565,4645.21,0.0,621.608,3763.65
pk1rcf72,highs,g,1,1325,3995643,4424.35,0.0,594.112,3582.04
pk1rcf72,highs,g,2,1311,3995345,4390.1,0.0,588.372,3557.49
pk1rcf72,highs,g,3,1337,4024402,4496.55,0.0,609.972,3634.83
pk1rcf72,highs,g,4,1374,4006872,4661.44,0.0,638.693,3758.38
pk1rcf72,highs,P,0,63,177681,298.89,178.159,36.3467,71.881
pk1rcf72,highs,P,1,69,180094,312.679,183.331,39.9358,75.9472
pk1rcf72,highs,P,2,66,179185,307.312,182.164,37.8957,74.3114
pk1rcf72,highs,P,3,58,178646,301.171,188.004,33.6679,68.0067
pk1rcf72,highs,P,4,64,179321,305.455,182.308,37.3837,73.0132
pk1rcf72,highs,D,0,59,48713,406.15,178.074,29.8595,187.108
pk1rcf72,highs,D,1,48,40230,317.076,177.057,24.5921,106.121
pk1rcf72,highs,D,2,46,37712,330.156,180.318,23.5265,117.287
pk1rcf72,highs,D,3,46,36852,336.477,180.991,23.7156,122.745
pk1rcf72,highs,D,4,61,51074,392.774,180.849,30.6793,169.819
pk1rcf72,gurobi,p,0,321,1090746,666.829,241.903,169.146,184.262
pk1rcf72,gurobi,p,1,316,1099038,653.084,241.5,165.479,176.904
pk1rcf72,gurobi,p,2,312,1094347,653.637,244.718,161.479,178.726
pk1rcf72,gurobi,p,3,317,1105323,654.649,241.544,164.422,179.511
pk1rcf72,gurobi,p,4,303,1096209,636.417,239.532,157.398,173.264
pk1rcf72,gurobi,g,0,1453,4143056,1907.89,0.0,658.445,970.702
pk1rcf72,gurobi,g,1,1388,4058557,1830.86,0.0,627.001,937.651
pk1rcf72,gurobi,g,2,1413,4004498,1881.34,0.0,641.96,967.948
pk1rcf72,gurobi,g,3,1414,4015640,1875.96,0.0,642.176,964.283
pk1rcf72,gurobi,g,4,1407,4033161,1890.27,0.0,651.613,967.532
pk1rcf72,gurobi,P,0,78,183339,266.231,164.669,46.6377,38.9788
pk1rcf72,gurobi,P,1,76,182701,260.868,163.631,44.9472,37.0917
pk1rcf72,gurobi,P,2,72,184197,254.097,161.764,42.0908,35.5675
pk1rcf72,gurobi,P,3,81,182315,260.365,158.744,46.1317,39.2807
pk1rcf72,gurobi,P,4,76,183449,253.945,156.899,43.9646,37.8031
pk1rcf72,gurobi,D,0,54,41300,250.79,158.199,27.8954,54.2251
pk1rcf72,gurobi,D,1,81,62345,279.608,158.336,41.1243,65.3629
pk1rcf72,gurobi,D,2,52,42669,244.578,163.592,26.7636,44.1119
pk1rcf72,gurobi,D,3,54,41844,248.38,159.428,27.5846,50.9555
pk1rcf72,gurobi,D,4,51,38794,246.026,158.924,26.1924,51.0514
pk1syf72,highs,p,0,265,1006976,678.008,140.822,178.666,306.03
pk1syf72,highs,p,1,248,984425,644.88,141.117,167.077,287.769
pk1syf72,highs,p,2,251,996234,647.867,141.704,169.059,287.291
pk1syf72,highs,p,3,267,1006817,688.016,143.325,182.87,308.6
pk1syf72,highs,p,4,257,1004236,664.032,142.709,175.197,294.754
pk1syf72,highs,g,0,868,2788349,2339.05,0.0,525.302,1669.79
pk1syf72,highs,g,1,880,2857672,2440.46,0.0,531.327,1763.04
pk1syf72,highs,g,2,905,2860321,2501.94,0.0,544.217,1808.44
pk1syf72,highs,g,3,930,2893551,2541.21,0.0,569.291,1817.89
pk1syf72,highs,g,4,871,2791768,2370.58,0.0,536.899,1686.52
pk1syf72,highs,P,0,49,127164,252.721,170.033,35.8048,38.072
pk1syf72,highs,P,1,54,128571,259.019,167.147,39.4544,42.8494
pk1syf72,highs,P,2,54,128377,264.874,173.899,39.3126,42.2242
pk1syf72,highs,P,3,51,127573,264.57,176.533,38.3505,40.416
pk1syf72,highs,P,4,54,127668,268.009,174.86,40.7565,42.7453
pk1syf72,highs,D,0,44,24388,282.449,169.411,29.3444,75.1638
pk1syf72,highs,D,1,44,23106,283.178,170.497,29.3381,74.8319
pk1syf72,highs,D,2,44,24043,285.025,170.08,29.2416,77.3056
pk1syf72,highs,D,3,45,24866,287.249,171.016,30.3403,77.2053
pk1syf72,highs,D,4,45,23452,286.343,170.893,30.8852,75.9172
pk1syf72,gurobi,p,0,253,985377,466.64,125.383,171.856,118.148
pk1syf72,gurobi,p,1,260,990356,472.885,123.978,175.963,120.839
pk1syf72,gurobi,p,2,269,997074,491.725,127.047,181.593,127.811
pk1syf72,gurobi,p,3,282,993000,502.441,123.746,190.41,131.155
pk1syf72,gurobi,p,4,265,1001783,479.559,122.899,180.046,123.535
pk1syf72,gurobi,g,0,912,2814647,1232.78,0.0,559.596,516.997
pk1syf72,gurobi,g,1,930,2914983,1240.93,0.0,566.483,516.386
pk1syf72,gurobi,g,2,914,2858423,1223.95,0.0,557.665,509.051
pk1syf72,gurobi,g,3,912,2926159,1218.76,0.0,553.42,510.475
pk1syf72,gurobi,g,4,877,2805278,1164.2,0.0,535.764,478.159
pk1syf72,gurobi,P,0,66,130116,259.041,168.127,49.6918,29.0769
pk1syf72,gurobi,P,1,59,129316,252.178,172.361,43.7963,25.3323
pk1syf72,gurobi,P,2,61,129158,245.36,162.306,45.1834,26.6869
pk1syf72,gurobi,P,3,63,129474,246.284,161.906,46.5229,26.6865
pk1syf72,gurobi,P,4,65,129751,248.574,161.009,47.7112,28.1184
pk1syf72,gurobi,D,0,100,201745,298.318,168.305,65.775,46.374
pk1syf72,gurobi,D,1,88,179774,283.107,170.366,58.8449,37.7991
pk1syf72,gurobi,D,2,52,25062,237.278,164.919,34.8228,27.7351
pk1syf72,gurobi,D,3,55,26231,240.258,162.899,36.7434,30.3988
pk1syf72,gurobi,D,4,58,27412,251.989,163.755,39.0469,38.4924
pk1rcf34,highs,p,0,187,775351,352.171,86.0691,59.2648,170.283
pk1rcf34,highs,p,1,185,773269,349.772,85.9799,58.8874,168.722
pk1rcf34,highs,p,2,184,774831,349.455,86.1565,58.4979,168.767
pk1rcf34,highs,p,3,187,775351,352.908,86.3457,59.3233,170.677
pk1rcf34,highs,p,4,187,775351,350.85,84.6346,59.5549,170.184
pk1rcf34,highs,g,0,560,2696133,1053.53,0.0,170.209,780.349
pk1rcf34,highs,g,1,555,2671083,1028.93,0.0,169.485,760.103
pk1rcf34,highs,g,2,533,2553356,976.215,0.0,163.281,717.356
pk1rcf34,highs,g,3,558,2687837,1047.02,0.0,169.757,775.637
pk1rcf34,highs,g,4,539,2583100,1001.54,0.0,165.792,736.238
pk1rcf34,highs,P,0,45,107804,137.112,75.2505,16.4266,37.2903
pk1rcf34,highs,P,1,44,107726,134.046,74.7246,16.0942,35.3905
pk1rcf34,highs,P,2,42,107755,130.337,74.2938,15.3198,33.2738
pk1rcf34,highs,P,3,44,108785,132.626,74.3703,15.9813,34.3942
pk1rcf34,highs,P,4,46,108290,135.985,75.4039,16.7808,35.681
pk1rcf34,highs,D,0,35,16995,137.469,75.3717,10.9565,44.8546
pk1rcf34,highs,D,1,35,18811,132.079,73.6745,10.9344,41.2185
pk1rcf34,highs,D,2,37,15730,143.263,74.6835,11.6225,50.4228
